location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
23299223,Internacional,Prague,Czech Republic,50.037327,14.563508,5.0,1,,hotel
15000661,Szent Laszlo Gimnazium,Budapest,Hungary,47.48877,19.13504,4.0,1,,attraction
17679312,Bunker Shooting,Budapest,Hungary,47.488686,19.092598,4.9,56,,attraction
23199888,Attila Apartmans,Budapest,Hungary,47.48871,19.089947,,0,,hotel
23199908,Attila Apartment,Budapest,Hungary,47.488667,19.089666,,0,,hotel
28089214,Orsolya Market Kft,Budapest,Hungary,47.48856,19.09581,,0,,restaurant
10202953,M+D Hotel,Budapest,Hungary,47.48844,19.09702,1.6,9,$,hotel
16881470,Perfect European Tours - Budapest,Budapest,Hungary,47.48848,19.09232,4.9,549,,attraction
27461138,Turbina Bisztro,Budapest,Hungary,47.48878,19.073359,,0,,restaurant
27461067,Turbina Bistro,Budapest,Hungary,47.48878,19.073359,,0,,restaurant
4093043,ParaPark,Budapest,Hungary,47.48886,19.07334,4.6,39,,attraction
5496914,Can Costa,Olesa de Bonesvalls,Spain,41.35,1.846111,4.0,44,$$ - $$$,restaurant
27898180,Forn De Pa La Penya,Olesa de Bonesvalls,Spain,41.352337,1.850687,,0,,restaurant
32890218,Anda Sports Camps,Torrelles de Llobregat,Spain,41.35312,1.978743,,0,,attraction
25909042,La Miranda,Sant Boi de Llobregat,Spain,41.3529,2.020993,,0,,attraction
27878135,Diversus Sports - Accura,Sant Boi de Llobregat,Spain,41.35469,2.021141,3.0,3,$$ - $$$,restaurant
24982424,Parque De Marianao,Sant Boi de Llobregat,Spain,41.352512,2.022134,,0,,attraction
32767274,Vanessa,Sant Boi de Llobregat,Spain,41.34883,2.026073,,0,,restaurant
23339725,Domino's Pizza Sant Boi,Sant Boi de Llobregat,Spain,41.35412,2.026754,1.0,1,,restaurant
15565878,Horta-Guinardo,Barcelona,Spain,41.352283,2.026837,,0,,
8606419,Coquus Restaurant,Sant Boi de Llobregat,Spain,41.353573,2.027185,4.4,111,$$ - $$$,restaurant
32890369,Porcino Harrachov,Harrachov,Czech Republic,50.03979,14.666391,,0,,restaurant
15801209,Penzion Rokytka,Prague,Czech Republic,50.03796,14.63618,,0,,hotel
15811666,SmartGuide,Prague,Czech Republic,50.03532,14.59253,4.9,7,,attraction
28057891,Ll Market,Prague,Czech Republic,50.039513,14.592277,,0,,restaurant
18313820,SmartGuide,Prague,Czech Republic,50.03503,14.59242,,0,,attraction
28058071,Pizza Momento,Prague,Czech Republic,50.03331,14.5966,,0,,restaurant
7235296,Prague Foodies,Prague,Czech Republic,50.03186,14.59986,4.9,202,,attraction
6639061,Hotel U Karla,Prague,Czech Republic,50.03195,14.59796,4.5,12,$,hotel
12624523,Ha Long Restaurant,Prague,Czech Republic,50.032887,14.59671,4.4,25,$$ - $$$,restaurant
28057929,Zelenkova Cukrarna,Prague,Czech Republic,50.041016,14.559746,,0,,restaurant
10716101,ZoNa,Moscow,Russia,55.644524,37.590553,5.0,1,,attraction
3194336,Bakinsky Bulvar,Moscow,Russia,55.641956,37.593727,3.4,45,$$ - $$$,restaurant
3768618,Tatarstan,Moscow,Russia,55.64639,37.58862,,0,,restaurant
8074923,Bittsa,Moscow,Russia,55.642254,37.583237,4.0,9,,attraction
3764275,Tavriya,Moscow,Russia,55.64639,37.58862,2.5,2,,restaurant
23394349,Pivnoi restaurant Sudak,Moscow,Russia,55.64967,37.594807,5.0,3,,restaurant
23393700,Sudak Restaurant,Moscow,Russia,55.64967,37.594807,,0,$$ - $$$,restaurant
3764639,Krymskie Kanikuly,Moscow,Russia,55.64645,37.58883,2.3,4,,restaurant
3777130,Uzurpator,Moscow,Russia,55.64645,37.58883,2.0,4,,restaurant
10592662,Zeta LaserLand,Moscow,Russia,55.64747,37.595406,5.0,1,,attraction
20009043,Eglise Saint-Pierre,Boussy-Saint-Antoine,France,48.68893,2.52911,,0,,attraction
5416588,Kenz Hotel Boussy,Boussy-Saint-Antoine,France,48.67841,2.52914,2.2,6,,hotel
27364795,Boucherie Nivernaise,Quincy-sous-Senart,France,48.67573,2.532007,,0,,restaurant
28025137,Pizza Bonici,Boussy-Saint-Antoine,France,48.690475,2.529284,3.0,4,,restaurant
27867447,Le Longchamp,Boussy-Saint-Antoine,France,48.690697,2.528661,,0,,restaurant
28323873,Azen,Boussy-Saint-Antoine,France,48.691853,2.531748,,0,,attraction
27533328,Wokasie,Boussy-Saint-Antoine,France,48.69101,2.5306,3.6,5,,restaurant
16718639,Pep's Bowling,Boussy-Saint-Antoine,France,48.682888,2.534417,2.1,8,,attraction
